행유형,원본부모Claim번호,자식Claim번호,입력구분,최종검증유형,유형분류결과,원문,기사작성일,대상수치표현,지표,기사값,단위,기준시점,주기,지역,대상집단,차원JSON,계산방식,조건JSON,파싱상태,공식조회진입경로,최종상태,최종사유코드,실패단계,실패원인_쉬운설명,판정,공식계산값,공식좌표JSON,공식출처JSON,공식근거URL,응답해시,공표확인,공식근거종류,공식판정완료,진단번호,원본상세사유,전체자식수,8번직접값자식수,다른유형자식수,공식판정완료자식수,실행결과파일
복수문장부모요약,A00007_3,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,보잉 737 맥스 여객기가 자카르타에서 추락한 사고로 189명이 사망한 사건이 발생한 2018년(전체 사망자 526명) 이후 가장 많다.,2025-01-01,,사망자 수,189,명,2018,Y,,,,,,,,자식별 결과,"{""GROUPING_AMBIGUOUS"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00186_9,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"한편, 지난해 현대차·기아 전체 수출 대수는 218만698대, 수출액은 533억6000만달러(약 78조원)로, 2년 연속 수출 200만대, 수출액 500억달러를 이어갔다.",2025-01-15,,수출액,2180698,대,2024,Y,,,,,,,,자식별 결과,"{""TARGET_VALUE_NOT_IN_SOURCE_SENTENCE"": 1, ""문장에 수출 대수와 수출액이라는 서로 독립적으로 검증 가능한 두 수치가 함께 있어 하나의 주장으로 안전하게 통합하기 어렵고, ‘2년 연속’은 증가율이 아닌 지속·기준 충족 표현임"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,2,2,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00189_11,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"세부 품목에서는 커피(9.7%), 쇠고기(3.4%) 등의 물가가 전월과 비교해 많이 올랐다.",2025-01-15,,물가상승률,3.4,%,2025-01,M,,,,,,,,자식별 결과,{},,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,2,0,2,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00189_5,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"수입 물가지수는 작년 10월(2.1%), 11월(0.9%) 등으로 석 달 연속 전월에 비해 오르고 있다.",2025-01-15,,수입물가지수,2.1,%,2024-10,M,,,,,,,,자식별 결과,{},,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,2,0,2,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00195_11,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"연간 경제성장률이 3~4%에 달하던 시절은 아련하고, 지금은 1% 성장률에 머물러 있다.",2025-01-15,,경제성장률,4,%,2025,Y,,,,,,,,자식별 결과,"{""FETCH_FAILED"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
부모겸단일결과,A00202_2,A00202_2,단일 수치,8번 직접값 제외,다른 유형으로 이동: 최고·최저 기록,취업자 수는 코로나 사태의 직격탄을 맞은 2021년 2월(-47만3000명) 이후 3년 10개월 만에 감소세로 돌아섰다.,2025-01-16,473000명,취업자 수,473000.0,명,2021-02,M,,,,DIRECT_VALUE,"{""direction"": ""DECREASE""}",HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_RECORD,CLAIM_PARSE,직접값이 아니라 과거 전체 기간과 비교해야 하는 기록 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
복수문장부모요약,A00202_26,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"증가폭이 2023년(32만7000명)의 절반 아래로 줄어, 코로나 거리 두기 여파로 취업자 수가 22만명 가까이 감소했던 2020년 이후 최악의 고용 성적표를 기록했다.",2025-01-16,,취업자 수,327000,명,2023,Y,,,,,,,,자식별 결과,"{""TARGET_NOT_FOUND_IN_SOURCE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00202_5,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"15일 통계청이 발표한 ‘2024년 12월 및 연간 고용 동향’에 따르면, 지난달 취업자 수는 2804만1000명으로 전년 동월 대비 5만2000명 감소했다.",2025-01-16,,취업자 수,28041000,명,2024-12,M,,,,,,,,자식별 결과,{},,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,0,1,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00231_10,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"지난 2022년 폴란드에 48대, 2023년 말레이시아에 18대를 수출하는 등 누적 수출액만 78억달러(약 11조3700억원)에 달한다.",2025-01-18,,수출액,48,대,2022,Y,,,,,,,,자식별 결과,"{""TARGET_VALUE_NOT_IN_SOURCE_SENTENCE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00254_17,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,이어 “건설투자도 12월 중 아파트 분양실적(2만1000호)이 당초 계획(2만5000호)를 17.2% 가량 하회하는 등 4분기 중 부진이 더 심화됐다”고 설명했다.,2025-01-20,,건설투자,21000,호,2025-Q4,Q,,,,,,,,자식별 결과,{},,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,0,1,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
