부모Claim번호,자식순번,자식Claim번호,실행자식Claim번호,재시도결과,12칸공식조회가능,공식결과생성,개념확정,후보수,근거좌표수,공식출처수,판정,판정경로,판정사유,최종상태,최종사유,진단번호
A00007_3,1,claim_f8916174d4816698,A00007_3,N,True,N,,0,0,0,,,,HUMAN_REVIEW,GROUPING_AMBIGUOUS,
A00186_9,1,claim_fa38cac3c10b0e85,claim_f8ee8fb0f4b72433,N,True,N,,0,0,0,,,,HUMAN_REVIEW,"문장에 수출 대수와 수출액이라는 서로 독립적으로 검증 가능한 두 수치가 함께 있어 하나의 주장으로 안전하게 통합하기 어렵고, ‘2년 연속’은 증가율이 아닌 지속·기준 충족 표현임",
A00186_9,2,claim_3b4c57d9172bc1c9,claim_ccd4c16816d9226b,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A00189_11,1,claim_a1a76c745abcc58a,claim_3837ae19190fab9e,N,False,N,,0,0,0,,,,HUMAN_REVIEW,문장에 커피와 쇠고기의 서로 독립적으로 검증 가능한 두 증감률이 함께 제시되어 단일 Claim으로 확정할 수 없음,
A00189_11,2,claim_53bb51959f2ad1a4,claim_15cf90de9f1a506c,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"문장에 쇠고기 물가의 전월 대비 상승률 3.4%가 명시되어 있으나, 목표 시점이 직접 명시되지 않았고 기사 발행일만 제공되어 기준 시점 확정이 필요함",
A00189_5,1,claim_144547d31050a370,claim_e4445d226ceae05b,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00189_5,2,claim_f205ddbcba891809,claim_cc6b6bd585ac1eaa,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00195_11,1,claim_cbad041451547ab2,claim_c778beb868de3229,N,True,Y,MATCHED,20,1,1,UNDETERMINED,HOLD,FETCH_FAILED,HOLD,FETCH_FAILED,
A00202_26,1,claim_0a51bae8271add36,A00202_26,N,True,N,,0,0,0,,,,HUMAN_REVIEW,GROUPING_AMBIGUOUS,
A00202_5,1,claim_01db654650442f8b,claim_07d586df71361c3b,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A00231_10,1,claim_4292bd4861a1b423,claim_f9e8a7e49073ca96,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A00254_17,1,claim_dca145422e091386,claim_92d84b3c4a59cd15,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A00298_3,1,claim_eecfa40878a00f16,A00298_3,N,True,N,,0,0,0,,,,HUMAN_REVIEW,GROUPING_AMBIGUOUS,
A00308_6,1,claim_e95466b1942a27e4,claim_1c3a7f43144585da,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"중심 수치 2%의 지표와 대상 기간이 문장에 명시되지 않았고, 괄호의 1.3%는 비교 기준으로 보이지만 어떤 지표의 값인지 불명확함",
A00353_15,1,claim_b1560507664759f9,claim_c117eea59b89f822,N,True,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:comparison,
A00354_13,1,claim_de464853d689a99b,claim_89fe0912d791e78d,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00368_19,1,claim_75abc0998b9bf098,claim_f5afb29e46313759,N,True,Y,MATCHED,1,1,1,UNDETERMINED,HOLD,AS_OF_UNAVAILABLE,HOLD,AS_OF_UNAVAILABLE,
A00399_21,1,claim_d5f35a2e89a3e911,A00399_21,N,True,N,,0,0,0,,,,HUMAN_REVIEW,GROUPING_AMBIGUOUS,
A00463_15,1,claim_d81f609a74b27d3d,claim_fe3c0a762800a296,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00489_11,1,claim_1aa98594f46770a7,claim_93868d0fe52c1333,N,True,N,,0,0,0,,,,HUMAN_REVIEW,중심 수치에 전월 대비와 전년 동월 대비라는 서로 독립적으로 검증 가능한 증감률이 함께 포함되어 있어 단일 주장으로 안전하게 확정할 수 없음,
A00579_17,1,claim_425d38a409b560bc,claim_a31925d406ed0862,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00630_16,1,claim_696fd653e7921dfb,claim_18a8259b786da120,Y,True,Y,MATCHED,22,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00635_5,1,claim_fcc8fa522e6bb94d,claim_2697916a3f575ea4,N,True,N,,0,0,0,,,,HUMAN_REVIEW,CLAIM_CALCULATION_UNSUPPORTED,
A00646_15,1,claim_234778d65b063b6b,claim_6f94a245cc5e3158,N,False,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A00722_6,1,claim_7617d2fac19710d2,claim_a8b8c935e53da438,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00735_6,1,claim_5095c98de43d1375,claim_6899362d0f00e6c9,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"목표 수치 1.9%와 기준 수치 2.1%는 명확하지만, 대명사 '이를'이 가리키는 구체적 지표가 문장에 명시되지 않음",
A00749_14,1,claim_0d6482ba1fa9a6ab,claim_1aa874f2b5ac8624,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00749_24,1,claim_a4c35c85011066cd,claim_51f06d1fd9510a12,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00749_24,2,claim_4ec273e3eb5dc413,claim_2f9cd8f9470671d9,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00749_24,3,claim_0549fe7976730903,claim_84bae48b8f1d64fa,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00751_27,1,claim_ab7eebfc50678e82,claim_7119ecd951a1cbcc,Y,False,N,,0,0,0,,,,HUMAN_REVIEW,실업률 4%라는 단일 수치는 명확하지만 대상 인구와 기준 시점이 본문에 직접 제시되지 않아 충분한 슬롯을 확정할 수 없음,
A00751_27,2,claim_e2ed9bf16de852a0,claim_0d135cb2f55e7669,Y,True,Y,MATCHED,26,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00922_25,1,claim_0891b38fe687ca41,claim_fc6661162e03cec1,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00953_14,1,claim_990e2230f27dbd12,A00953_14,Y,True,N,,0,0,0,,,,HUMAN_REVIEW,GROUPING_AMBIGUOUS,
A01193_11,1,claim_fa16759bc2782c6b,claim_3c9e3af9b280b4ae,N,True,Y,MATCHED,8,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01193_11,2,claim_4d7dc9ed0457a5f5,claim_d1249d7eefcdfd0d,N,True,Y,MATCHED,111,1,0,UNDETERMINED,HOLD,LOW_SEMANTIC_SCORE,HOLD,LOW_SEMANTIC_SCORE,
A01193_7,1,claim_88b757f547926753,claim_f25b2a9402e9b7f2,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A01193_7,2,claim_20ff519d54b08eff,claim_fb0e8bb8f95a5a67,N,True,Y,MATCHED,8,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01194_4,1,claim_cae2c70cd4ab0543,claim_989c5c16ba827e7d,N,True,Y,MATCHED,49,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01285_4,1,claim_d5a7ae422c416dbf,claim_8334ec755f430a47,N,True,Y,MATCHED,1,1,1,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A01384_4,1,claim_19830a4588052a84,claim_a8db0b0e44ad2adb,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"추경 규모가 15~20조원의 범위로 제시되어 단일 값으로 확정할 수 없고, 성장률 0.2%포인트 상승 효과라는 별도의 수치 주장도 함께 포함되어 있어 하나의 명확한 수치 주장으로 구조화하기 어렵습니다.",
A01384_4,2,claim_ca6c5e4ceef712bf,claim_b18f08a7568ea1a1,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:comparison,
A01385_7,1,claim_0b82eca204ef02a6,claim_e2ccd789a58070ed,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A01555_14,1,claim_655e588fbfd64be9,claim_754c95e88166f70c,N,False,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A01555_14,2,claim_e005a2037795a10d,claim_727f337747fdeef7,N,True,N,,0,0,0,,,,HUMAN_REVIEW,"GDP에서 0.25%포인트를 깎아내렸다는 중심 수치와 연방정부 지출 5.1% 감소가 함께 제시됐지만, DIFFERENCE 계산에 필요한 current_value와 reference_value가 명시되지 않았고 5.1% 감소의 비교 기준도 불명확함",
A01584_3,1,claim_5c09a68c75dde0e2,claim_c7688eb008562485,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A01589_4,1,claim_3e2801049ee55e9d,claim_c7688eb008562485,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A01641_17,1,claim_f6144e9032ae4a7a,claim_2617d0f5a5065df3,N,True,Y,MATCHED,9,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01709_31,1,claim_3548667ef4067f27,claim_39a5e0380a9a65d8,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01720_37,1,claim_4f01e6da4bafdd79,claim_7aef100e4edef048,N,True,Y,MATCHED,20,2,1,UNDETERMINED,HOLD,PUBLICATION_FETCH_FAILED,HOLD,PUBLICATION_FETCH_FAILED,
A01737_11,1,claim_4784a1df9b05fd94,claim_80895f9c29289a44,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"중심 수치와 전년 동월 대비 증감은 명시됐지만, 주장 대상 월이 문장에 직접 제시되지 않아 target time을 확정할 수 없음",
A01737_5,1,claim_535e5c9e6674fa0e,claim_2ad5bb5bd9905a6f,N,True,N,,0,0,0,,,,HUMAN_REVIEW,"‘10만명대’는 정확한 단일 수치가 아닌 범위 표현이며, 4개월 연속이라는 기간에 걸친 주장이라 확정값으로 자동 구조화하기 어렵습니다.",
A01752_4,1,claim_93612f4fd03ddb56,claim_a2dea7f14b093c76,N,True,Y,MATCHED,1,1,1,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A01927_11,1,claim_fb5fd135415c3b5c,claim_6e36d010210a5789,N,True,Y,MATCHED,1,1,1,UNDETERMINED,HOLD,AS_OF_UNAVAILABLE,HOLD,AS_OF_UNAVAILABLE,
A01927_23,1,claim_12fae89412f5fe2b,claim_2e43042570127df6,N,True,Y,MATCHED,1,1,1,UNDETERMINED,HOLD,AS_OF_UNAVAILABLE,HOLD,AS_OF_UNAVAILABLE,
A01927_23,2,claim_1014ae0c2e198bd3,claim_8a92ee6b7acec653,N,True,Y,MATCHED,1,1,1,UNDETERMINED,HOLD,FETCH_FAILED,HOLD,FETCH_FAILED,
A01935_13,1,claim_f92fc8467da2f9d7,claim_bb1148c4984f9655,N,True,N,,0,0,0,,,,HUMAN_REVIEW,문장에 내수와 순수출이라는 서로 독립적으로 검증 가능한 두 수치가 함께 제시되어 단일 Claim으로 안전하게 확정할 수 없음,
A01935_13,2,claim_876392cfe0983300,claim_8c11f8bc2e1155d0,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A01953_25,1,claim_cecd602327217d8d,claim_05babacc724d791f,N,True,Y,MATCHED,12,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02010_4,1,claim_51a6496f4aa68666,claim_0690047a53f191d0,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A02028_21,1,claim_45833028dbca3e22,A02028_21,N,True,N,,0,0,0,,,,HUMAN_REVIEW,GROUPING_AMBIGUOUS,
A02065_4,1,claim_5f82e5797d63537f,claim_1414ea7876152e4f,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,
A02065_4,2,claim_e6dc0e8f203a746e,claim_c7a340daf83cd473,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,
A02096_18,1,claim_5be8d71af5c168a2,claim_bce3529d3652ea7e,N,True,Y,MATCHED,1,1,1,UNDETERMINED,HOLD,AS_OF_UNAVAILABLE,HOLD,AS_OF_UNAVAILABLE,
A02096_19,1,claim_1ecdb544aa72ae01,claim_eea0c167608334ec,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,
A02096_3,1,claim_c67035994b1740c0,claim_5e3957373df19a5a,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02099_4,1,claim_3a279cee0bf7df85,claim_e923948d2d966fb0,N,True,N,,0,0,0,,,,HUMAN_REVIEW,RELATIVE_TIME_UNRESOLVED,
A02111_13,1,claim_1c587cb4401c7eed,A02111_13,N,True,N,,0,0,0,,,,HUMAN_REVIEW,CONTEXT_TARGET_UNRESOLVED,
A02111_4,1,claim_cbf0fa2709dcf6dd,claim_920b94d0a0bd3213,N,True,Y,MATCHED,1,1,1,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A02181_14,1,claim_4bd0595b56c90f89,claim_7cd7fd35f64558c9,N,True,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:comparison,
A02184_12,1,claim_a8ea1441d888bb96,claim_86bafe9ab3ba567b,N,True,Y,MATCHED,29,1,1,UNDETERMINED,HOLD,FETCH_FAILED,HOLD,FETCH_FAILED,
A02184_12,2,claim_e4383ee9b65c6c52,claim_8dcb3d88daf3d44e,N,True,Y,MATCHED,41,1,0,UNDETERMINED,HOLD,AMBIGUOUS_MARGIN,HOLD,AMBIGUOUS_MARGIN,
A02184_8,1,claim_e8ddfd4375ff8253,claim_17ac32734835b4ff,N,True,Y,MATCHED,41,1,1,UNDETERMINED,HOLD,FETCH_FAILED,HOLD,FETCH_FAILED,
A02350_6,1,claim_a98a3f38be1a6de2,claim_1a828370ce663974,N,False,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A02366_7,1,claim_7851493c515d1961,claim_cbe32415c35669c6,Y,True,N,,0,0,0,,,,HUMAN_REVIEW,CLAIM_CALCULATION_UNSUPPORTED,
A02375_3,1,claim_a9e9a18c31e048f0,claim_702acab8e660d451,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A02385_19,1,claim_3435ff4255fbe8da,claim_125cab3fadaf7307,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"증가율 6.9%와 대상 품목은 명확하지만, 비교 기준(전년 동월·전월 등)이 문장에 명시되지 않아 성장률의 comparison.type을 확정할 수 없음",
A02385_25,1,claim_accf2f7d9058e976,claim_038c05811fc04e09,N,True,Y,MATCHED,22,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02385_25,2,claim_1bac61eceba97acf,claim_afab39901c4dfaca,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"목표 수치 14.2%는 고추장 가격 상승률로 보이지만, 기사 문장에 상승 비교 기준(전월·전년 등)이 명시되지 않았고 여러 품목별 상승률과 전체 가공식품 물가 상승률이 함께 제시되어 독립 검증 단위가 모호함.",
A02385_25,3,claim_3124ebc0448cce54,claim_afab39901c4dfaca,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"목표 수치 14.2%가 고추장과 김치라는 두 독립 품목에 동시에 제시되어 단일 품목 주장으로 확정할 수 없고, 증감 비교 기준도 문장에 명시되지 않음",
A02385_25,4,claim_fea6ce29b2dad792,claim_2597ab6ee7e8ea8a,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"중심 수치인 빵 6.4%와 전체 가공식품 물가 4.6%, 다른 품목별 수치가 한 문장에 함께 제시되어 있고, 6.4%의 비교 기준과 증감 방향이 직접 명확하지 않음",
